/home/akshay/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 9010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
global_step=122000, episodic_return=[637.8564]
SPS: 1191
global_step=123000, episodic_return=[374.943]
global_step=124000, episodic_return=[375.03806]
SPS: 1184
global_step=125000, episodic_return=[792.01306]
global_step=126000, episodic_return=[335.43057]
SPS: 1185
global_step=127000, episodic_return=[574.8449]
global_step=128000, episodic_return=[796.8322]
global_step=129000, episodic_return=[342.94897]
SPS: 1186
global_step=130000, episodic_return=[827.92474]
global_step=131000, episodic_return=[482.85458]
SPS: 1187
global_step=132000, episodic_return=[527.8656]
global_step=133000, episodic_return=[88.49647]
SPS: 1184
global_step=134000, episodic_return=[740.42303]
global_step=135000, episodic_return=[330.65503]
SPS: 1185
global_step=136000, episodic_return=[151.35634]
global_step=137000, episodic_return=[635.848]
SPS: 1186
global_step=138000, episodic_return=[636.55963]
global_step=139000, episodic_return=[616.126]
SPS: 1187
global_step=140000, episodic_return=[929.0444]
global_step=141000, episodic_return=[710.27966]
SPS: 1185
global_step=142000, episodic_return=[756.0575]
global_step=143000, episodic_return=[982.52814]
SPS: 1186
global_step=144000, episodic_return=[773.7608]
global_step=145000, episodic_return=[-393.1274]
SPS: 1187
global_step=146000, episodic_return=[518.3698]
global_step=147000, episodic_return=[824.4508]
SPS: 1182
global_step=148000, episodic_return=[683.043]
global_step=149000, episodic_return=[-17.499514]
SPS: 1183
global_step=150000, episodic_return=[157.52704]
global_step=151000, episodic_return=[743.66656]
SPS: 1184
global_step=152000, episodic_return=[633.0824]
global_step=153000, episodic_return=[667.77704]
SPS: 1185
global_step=154000, episodic_return=[118.16833]
global_step=155000, episodic_return=[926.7709]
SPS: 1183
global_step=156000, episodic_return=[338.9298]
global_step=157000, episodic_return=[441.45944]
SPS: 1184
global_step=158000, episodic_return=[358.38782]
global_step=159000, episodic_return=[564.7304]
SPS: 1185
global_step=160000, episodic_return=[879.41833]
global_step=161000, episodic_return=[220.8376]
SPS: 1186
global_step=162000, episodic_return=[1058.1266]
global_step=163000, episodic_return=[909.10333]
